number,title,owned,image,note
A28,"Civilization: Clive Bell",Yes,https://mailpony.uk/pelicans/A028.jpg,"1938 good"
A29,"Limitations of Science: J.W.N. Sullivan",Yes,https://mailpony.uk/pelicans/A029.jpg,"1938 first good with dw"
A30,"A History of the English People 3: Elie Halevy",Yes,https://mailpony.uk/pelicans/A030.jpg,"1938 first good with dw"
A31,"My Apprenticeship I: Beatrice Webb",Yes,https://mailpony.uk/pelicans/A031.jpg,"1938 First with DW"
A32,"My Apprenticeship II: Beatrice Webb",Yes,https://mailpony.uk/pelicans/A032.jpg,"1938"
A33,"Totem and Taboo: Sigmund Freud",Yes,https://mailpony.uk/pelicans/A033.jpg,"1938"
A34,"Science and the Modern World: A.N. Whitehead",Yes,https://mailpony.uk/pelicans/A034.jpg,"1938 first with dw"
A35,"The Great Victorians 2",Yes,https://mailpony.uk/pelicans/A035.jpg,"1938"
A36,"The Common Reader: Virginia Woolf",Yes,https://mailpony.uk/pelicans/A036.jpg,"1938"
A37,"Socialism in Evolution: G.D.H. Cole",Yes,https://mailpony.uk/pelicans/A037.jpg,"1938"
A38,"Art in England: ed. R.S. Lambert",Yes,https://mailpony.uk/pelicans/A038.jpg,"1938"
A39,"The Century’s Poetry 4 Hood to Hardy ed. D. Kilham Roberts",Yes,https://mailpony.uk/pelicans/A039.jpg,"1938"
A40,"The Century’s Poetry 5 Bridges to the Present Day: ed. D. Kilham Roberts",Yes,https://mailpony.uk/pelicans/A040.jpg,"1938"
A41,"We Europeans: Huxley,Haddon & Carr-Saunders",Yes,https://mailpony.uk/pelicans/A041.jpg,"1939"
A42,"The Bases of Modern Science: J.W.N. Sullivan",Yes,https://mailpony.uk/pelicans/A042.jpg,"1939"
A43,"Introducing Shakespeare: G.B. Harrison",Yes,https://mailpony.uk/pelicans/A043.jpg,"1939"
A44,"Thinking to Some Purpose: L. Susan Strebbing",Yes,https://mailpony.uk/pelicans/A044.jpg,"1939"
A45,"The Economics of Inheritance: Josiah Wedgwood",Yes,https://mailpony.uk/pelicans/A045.jpg,"1939"
A46,"The Letters of Gertrude Bell (Part 1)",Yes,https://mailpony.uk/pelicans/A046.jpg,"1939"
A47,"Belief in God: Bishop Gore",Yes,https://mailpony.uk/pelicans/A047.jpg,"1939"
A48,"Lord Shaftesbury: J.L. & Barbara Hammond",Yes,https://mailpony.uk/pelicans/A048.jpg,"1939"
A49,"Mutual Aid: P. Kropotkin",Yes,https://mailpony.uk/pelicans/A049.jpg,"1939"
A50,"A History of the English People (Epilogue: 1895-1905: Book 1): Elie Halevy",Yes,https://mailpony.uk/pelicans/A050.jpg,"1939"
A51,"Essays of a Biologist: Julian Huxley",Yes,https://mailpony.uk/pelicans/A051.jpg,"1939"
A52,"A History of the English People (Epilogue: 1895-1905: Book 2): Elie Halevy",Yes,https://mailpony.uk/pelicans/A052.jpg,"1939"
A53,"Philosophy and Living 1: Olaf Stapledon",Yes,https://mailpony.uk/pelicans/A053.jpg,"1939"
A54,"Philosophy and Living 2: Olaf Stapledon",Yes,https://mailpony.uk/pelicans/A054.jpg,"1939 First"
A55,"Letters of Gertrude Bell (Part 2)",Yes,https://mailpony.uk/pelicans/A055.jpg,"1939"
A56,"Belief and Action: Viscount Samuel",Yes,https://mailpony.uk/pelicans/A056.jpg,"1939"
A57,"Great English Short Stories Dickens to Defoe: ed. John Hampden",Yes,https://mailpony.uk/pelicans/A057.jpg,"1939 First"
A58,"The Eighteen Nineties: Holbrook Jackson",Yes,https://mailpony.uk/pelicans/A058.jpg,"1939"
A59,"The Stars in their Courses: Sir James Jeans",Yes,https://mailpony.uk/pelicans/A059.jpg,"1939 good with dw"
A60,"Working-Class Wives: Margery Spring Rice",Yes,https://mailpony.uk/pelicans/A060.jpg,"1939 (first with dw)"
A61,"An Introduction to Modern Architecture: J.M. Richards",Yes,https://mailpony.uk/pelicans/A061.jpg,"1940"
A62,"What is Art?: D.S. MacColl",Yes,https://mailpony.uk/pelicans/A062.jpg,"1940"
A63,"Inventions: H. Stafford Hatfield",Yes,https://mailpony.uk/pelicans/A063.jpg,"1940 good with DW"
A64,"Great English Short Stories II: ed. John Hampden",Yes,https://mailpony.uk/pelicans/A064.jpg,"1940"
A65,"The Childhood of Animals: Sir Peter Chalmers-Mitchell",Yes,https://mailpony.uk/pelicans/A065.jpg,"1940"
A66,"Town Planning: Thomas Sharp",Yes,https://mailpony.uk/pelicans/A066.jpg,"1940"
A67,"Primitive Art: Leonhard Adam",Yes,https://mailpony.uk/pelicans/A067.jpg,"1940"
A68,"You and Music: Christian Darnton",Yes,https://mailpony.uk/pelicans/A068.jpg,"1940"
A69,"A History of the English People (Epilogue: 1895-1905: Book 3):Elie Halevy",Yes,https://mailpony.uk/pelicans/A069.jpg,"1940"
A70,"The Expanding Universe: Sir Arthur Eddington",Yes,https://mailpony.uk/pelicans/A070.jpg,"1940"
A71,"The Physiology of Sex: Kenneth Walker",Yes,https://mailpony.uk/pelicans/A071.jpg,"1940"
A72,"A Short History of English Literature: B. Ifor Evans",Yes,https://mailpony.uk/pelicans/A072.jpg,"1940"
A73,"Man,Microbe,Malady: Dr. John Drew",Yes,https://mailpony.uk/pelicans/A073.jpg,"1940"
A74,"British Scientists of the Nineteenth Century 1: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A074.jpg,"1940"
A75,"Watching Birds: James Fisher",Yes,https://mailpony.uk/pelicans/A075.jpg,"1940"
A76,"An Anthology of Animal Poetry: Kenneth Mason",Yes,https://mailpony.uk/pelicans/A076.jpg,"1940"
A77,"Forever Freedom: ed. J. Wedgewood & A. Nevins",Yes,https://mailpony.uk/pelicans/A077.jpg,"1940"
A78,"The Personality of Animals: H. Munro Fox",Yes,https://mailpony.uk/pelicans/A078.jpg,"1940"
A79,"The Poets and their Critics: Hugh Sykes Davies",Yes,https://mailpony.uk/pelicans/A079.jpg,"1940"
A80,"Plastics: V.E. Yarsley and E.G. Couzens",Yes,https://mailpony.uk/pelicans/A080.jpg,"1940"
A81,"New Writing in Europe: John Lehmann",Yes,https://mailpony.uk/pelicans/A081.jpg,"1941"
A82,"European Painting and Sculpture: Eric Newton",Yes,https://mailpony.uk/pelicans/A082.jpg,"1941"
A83,"English Diaries of the XVI, XII and XVIII Centuries: John Aitken",Yes,https://mailpony.uk/pelicans/A083.jpg,"1941"
A84,"The Scientific Attitude: C.H. Waddington",Yes,https://mailpony.uk/pelicans/A084.jpg,"1941"
A85,"Cine-Biology: Durden,Field & Smith",Yes,https://mailpony.uk/pelicans/A085.jpg,"1941"
A86,"The Chinese: Winifred Galbraith",Yes,https://mailpony.uk/pelicans/A086.jpg,"1942"
A87,"British Scientists of the 19th Century 2: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A087.jpg,"1941"
A88,"Science and Everyday Life: J.B.S Haldane",Yes,https://mailpony.uk/pelicans/A088.jpg,"1941"
A89,"Comparative Religion: A.C. Bouquet",Yes,https://mailpony.uk/pelicans/A089.jpg,"1941"
A90,"Lives of the Great Composers 1: Ed. A.L. Bacharach",Yes,https://mailpony.uk/pelicans/A090.jpg,"1941"
A91,"Lives of the Great Composers 2: Ed. A.L. Bacharach",Yes,https://mailpony.uk/pelicans/A091.jpg,"1942"
A92,"Lives of the Great Composers 3: Ed. A.L. Bacharach",Yes,https://mailpony.uk/pelicans/A092.jpg,"1942"
A93,"The Centuries’ Poetry (Pope to Keats): Ed. D. Kilham Roberts",Yes,https://mailpony.uk/pelicans/A093.jpg,"1942"
A94,"English Justice: ‘Solicitor’",Yes,https://mailpony.uk/pelicans/A094.jpg,"1942"
A95,"Words and Deeds: H.W. Nevinson",Yes,https://mailpony.uk/pelicans/A095.jpg,"1942"
A96,"An Anthology of Religious Verse: Ed. Norman Nicholson",Yes,https://mailpony.uk/pelicans/A096.jpg,"1942"
A97,"An Anthology of Canadian Poetry: Ed. Ralph Gustafson",Yes,https://mailpony.uk/pelicans/A097.jpg,"1942"
A98,"An Anthology of War Poetry: Ed. Julian Symons",Yes,https://mailpony.uk/pelicans/A098.jpg,"1942"
A99,"A Book of English Essays: Ed. W.E. Williams",Yes,https://mailpony.uk/pelicans/A099.jpg,"1942"
A100,"Explosives: John Read",Yes,https://mailpony.uk/pelicans/A100.jpg,"1942"
A101,"Men of America: Lionel Elvin",Yes,https://mailpony.uk/pelicans/A101.jpg,"1941"
A102,"Human Physiology: Kenneth Walker",Yes,https://mailpony.uk/pelicans/A102.jpg,"1942"
A103,"Adventures of Ideas: A.N. Whitehead",Yes,https://mailpony.uk/pelicans/A103.jpg,"1942"
A104,"Famous American Men of Science 1: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A104.jpg,"1944"
A105,"Famous American Men of Science 2: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A105.jpg,"1944"
A106,"Britain B.C.: S.E. Winbolt",Yes,https://mailpony.uk/pelicans/A106.jpg,"1943"
A107,"Music in England: Eric Blom",Yes,https://mailpony.uk/pelicans/A107.jpg,"1942"
A108,"What Happened in History: V. Gordon Childe",Yes,https://mailpony.uk/pelicans/A108.jpg,"1942"
A109,"An Outline of European Architecture: Nikolaus Pevsner",Yes,https://mailpony.uk/pelicans/A109.jpg,"1943"
A110,"Rutherford of Nelson: Ivor B. Evans",Yes,https://mailpony.uk/pelicans/A110.jpg,"1943"
A111,"Soviet Science: J.G. Crowther",Yes,https://mailpony.uk/pelicans/A111.jpg,"1942"
A112,"The Growth of Science: A.P. Rossiter",Yes,https://mailpony.uk/pelicans/A112.jpg,"1943"
A113,"The Biological Control of Insects: Hugh Nicol",Yes,https://mailpony.uk/pelicans/A113.jpg,"1943"
A114,"A Short History of French Literature: Laurence Bisson",Yes,https://mailpony.uk/pelicans/A114.jpg,"1943"
A115,"Prehistoric Britain: Jacquetta & Christopher Hawkes",Yes,https://mailpony.uk/pelicans/A115.jpg,"1943"
A116,"The Rebirth of Christianity: Stanley Cook",Yes,https://mailpony.uk/pelicans/A116.jpg,"1944"
A117,"Growing Up in New Guinea: Margaret Mead",Yes,https://mailpony.uk/pelicans/A117.jpg,"1942"
A118,"Narrative Poems of the Late 19th Century: Ed. H.A. Treble",Yes,https://mailpony.uk/pelicans/A118.jpg,"1943"
A119,"Beyond the Microscope: Kenneth M. Smith",Yes,https://mailpony.uk/pelicans/A119.jpg,"1943"
A120,"The Ancient World: T.R. Glover",Yes,https://mailpony.uk/pelicans/A120.jpg,"1944"
A121,"Mathematician’s Delight: W.W. Sawyer",Yes,https://mailpony.uk/pelicans/A121.jpg,"1943"
A122,"Ballet: Arnold Haskell",Yes,https://mailpony.uk/pelicans/A122.jpg,"1944"
A123,"Minerals in Industry: W.R. James",Yes,https://mailpony.uk/pelicans/A123.jpg,"1943"
A124,"The Weather: G.H. Kimble",Yes,https://mailpony.uk/pelicans/A124.jpg,"1943"
A125,"Metals in the Service of Man: Jacquetta & A. Street & W. Alexander",Yes,https://mailpony.uk/pelicans/A125.jpg,"1944"
A126,"Film: Roger Manwell",Yes,https://mailpony.uk/pelicans/A126.jpg,"1944"
A127,"Coming of Age in Samoa: Margaret Mead",Yes,https://mailpony.uk/pelicans/A127.jpg,"1943"
A128,"Geology in the Service of Man: W.G. Fearnsides & O.M.B. Bulman",Yes,https://mailpony.uk/pelicans/A128.jpg,"1944"
A129,"Democratic Ideals and Reality: Halford J. Mackinder",Yes,https://mailpony.uk/pelicans/A129.jpg,"1944"
A130,"Interglossa: Lancelot Hoghen",Yes,https://mailpony.uk/pelicans/A130.jpg,"1944"
A131,"English Diaries of the XIX Century: Ed. James Aitken",Yes,https://mailpony.uk/pelicans/A131.jpg,"1944"
A132,"The Second Common Reader: Virginia Woolf",Yes,https://mailpony.uk/pelicans/A132.jpg,"1944"
A133,"The ABC of Psychology: C.K. Ogden",Yes,https://mailpony.uk/pelicans/A133.jpg,"1944"
A134,"Britain Under the Romans: S.E. Winbolt",Yes,https://mailpony.uk/pelicans/A134.jpg,"1945"
A135,"Civilization,Science and Religion: A.D. Ritchie",Yes,https://mailpony.uk/pelicans/A135.jpg,"1945"
A136,"An Autobiography: R.G. Collingwood",Yes,https://mailpony.uk/pelicans/A136.jpg,"1945"
A137,"A Survey of Russian Music: M.D. Calvocoressi",Yes,https://mailpony.uk/pelicans/A137.jpg,"1945"
A138,"The American Character: Margaret Mead",Yes,https://mailpony.uk/pelicans/A138.jpg,"1944"
A139,"The Physical Basis of Personality: V.H. Mottram",Yes,https://mailpony.uk/pelicans/A139.jpg,"1944"
A140,"The Managerial Revolution: James Burnham",Yes,https://mailpony.uk/pelicans/A140.jpg,"1945"
A141,"Why Smash Atoms: A.K. Solomon",Yes,https://mailpony.uk/pelicans/A141.jpg,"1945"
A142,"Greek Science: Benjamin Farrington",Yes,https://mailpony.uk/pelicans/A142.jpg,"1944"
A143,"Life in Shakespeare’s England: John Dover Wilson",Yes,https://mailpony.uk/pelicans/A143.jpg,"1945"
A144,"An Introduction to the Bible: Stanley Cook",Yes,https://mailpony.uk/pelicans/A144.jpg,"1945"
A145,"Philosophy and the Physicists: Susan Stebbing",Yes,https://mailpony.uk/pelicans/A145.jpg,"1944"
A146,"Persons and Periods: G.D.H. Cole",Yes,https://mailpony.uk/pelicans/A146.jpg,"1945"
A147,"Animal Camouflage: E.M. Stephenson",Yes,https://mailpony.uk/pelicans/A147.jpg,"1946"
A148,"Psychology and World Order: Ranyard West",Yes,https://mailpony.uk/pelicans/A148.jpg,"1945"
A149,"Grow Up – and Live: Eustace Chesser",Yes,https://mailpony.uk/pelicans/A149.jpg,"1945"
A150,"Opera: Edward J. Dent",Yes,https://mailpony.uk/pelicans/A150.jpg,"1940"
A151,"Reading for Profit: Montgomery Belgion",Yes,https://mailpony.uk/pelicans/A151.jpg,"1945"
A152,"Education in England: W. Kenneth Richmond",Yes,https://mailpony.uk/pelicans/A152.jpg,"1945"
A153,"Common Wildflowers: John Hutchinson",Yes,https://mailpony.uk/pelicans/A153.jpg,"1945"
A154,"Microbes by the Millions: Hugh Nicol",Yes,https://mailpony.uk/pelicans/A154.jpg,"1945"
A155,"Plato and his Dialogues: G. Lowes Dickinson",Yes,https://mailpony.uk/pelicans/A155.jpg,"1947"
A156,"British Music of our Time: Ed. A.L. Bacharach",Yes,https://mailpony.uk/pelicans/A156.jpg,"1946"
A157,"The Science of Seeing: I. Mann & A. Pirie",Yes,https://mailpony.uk/pelicans/A157.jpg,"1946"
A158,"Juvenile Delinquency and the Law: A.E. Jones",Yes,https://mailpony.uk/pelicans/A158.jpg,"1946"
A159,"Land of the Soviets: James S. Gregory",Yes,https://mailpony.uk/pelicans/A159.jpg,"1946"
A160,"Climbing in Britain: J.E.Q. Barford",Yes,https://mailpony.uk/pelicans/A160.jpg,"1946"
A161,"Fishlore: A.F. Magri MacMahon",Yes,https://mailpony.uk/pelicans/A161.jpg,"1946"
A162,"Local Government in England and Wales: W. Eric Jackson",Yes,https://mailpony.uk/pelicans/A162.jpg,"1946"
A163,"English Letters of the XVIII Century: Ed. James Aitken",Yes,https://mailpony.uk/pelicans/A163.jpg,"1946"
A164,"English Letters of the XIX Century: Ed. James Aitken",Yes,https://mailpony.uk/pelicans/A164.jpg,"1946"
A165,"The Personality of Man: G.N.M. Tyrrell",Yes,https://mailpony.uk/pelicans/A165.jpg,"1946"
A166,"Glass through the Ages: E. Barrington Haynes",Yes,https://mailpony.uk/pelicans/A166.jpg,"1947"
A167,"William Temple and his Message: Canon A.E. Baker",Yes,https://mailpony.uk/pelicans/A167.jpg,"1947"
A168,"The Pyramids of Eygpt: I.E.S. Edwards",Yes,https://mailpony.uk/pelicans/A168.jpg,"1947"
A169,"John Citizen and the Law: Ronald Rubenstein",Yes,https://mailpony.uk/pelicans/A169.jpg,"1947"
A170,"Science and the Nation",Yes,https://mailpony.uk/pelicans/A170.jpg,"1947"
A171,"The Bleak Age: J.L. & Barbara Hammond",Yes,https://mailpony.uk/pelicans/A171.jpg,"1947"
A172,"A Short History of English Drama: B. Ifor Evans",Yes,https://mailpony.uk/pelicans/A172.jpg,"1947"
A173,"The World’s Wealth: W.G. Moore",Yes,https://mailpony.uk/pelicans/A173.jpg,"1947"
A174,"The Population of Britain: Eva M. Hubback",Yes,https://mailpony.uk/pelicans/A174.jpg,"1947"
A175,"Bird Recognition (1): James Fisher",Yes,https://mailpony.uk/pelicans/A175.jpg,"1947"
A176,"Bird Recognition (2): James Fisher",Yes,https://mailpony.uk/pelicans/A176.jpg,"1948"
A177,"Bird Recognition (3): James Fisher",Yes,https://mailpony.uk/pelicans/A177.jpg,"1948"
A178,"The Inventor and his World: H. Stafford Hatfield",Yes,https://mailpony.uk/pelicans/A178.jpg,"1948"
A179,"Genetics: H. Kalmus",Yes,https://mailpony.uk/pelicans/A179.jpg,"1948"
A180,"More Common Wild Flowers: J. Hutchinson",Yes,https://mailpony.uk/pelicans/A180.jpg,"1948"
A181,"Man,the Unknown: Alexis Carrel",Yes,https://mailpony.uk/pelicans/A181.jpg,"1948"
A182,"Russian Art: Tamara Talbot Rice",Yes,https://mailpony.uk/pelicans/A182.jpg,"1948"
A183,"British Herbs: Florence Ranson",Yes,https://mailpony.uk/pelicans/A183.jpg,"1948"
A184,"The Irish: Sean O’Faolain",Yes,https://mailpony.uk/pelicans/A184.jpg,"1948"
A185,"Geology and Scenery in England and Wales: A.E. Trueman",Yes,https://mailpony.uk/pelicans/A185.jpg,"1948"
A186,"Scientist in Russia: Eric Ashby",Yes,https://mailpony.uk/pelicans/A186.jpg,"1947"
A187,"Animals Without Backbones 1: Ralph Buchsbaum",Yes,https://mailpony.uk/pelicans/A187.jpg,"1949"
A188,"Animals Without Backbones 2: Ralph Buchsbaum",Yes,https://mailpony.uk/pelicans/A188.jpg,"1949"
A189,"The Life of Jesus: C.J. Cadoux",Yes,https://mailpony.uk/pelicans/A189.jpg,"1949"
A190,"Early Victorian Novelists: David Cecil",Yes,https://mailpony.uk/pelicans/A190.jpg,"1948"
A191,"Africa Emergent: W.M. MacMillan",Yes,https://mailpony.uk/pelicans/A191.jpg,"1949"
A192,"Greek Science 2: Benjamin Farrington",Yes,https://mailpony.uk/pelicans/A192.jpg,"1949"
A193,"The Size of the Universe: F.J. Hargreaves",Yes,https://mailpony.uk/pelicans/A193.jpg,"1949"
A194,"The Psychology of Sex: Oswald Schwarz",Yes,https://mailpony.uk/pelicans/A194.jpg,"1949"
A195,"Music Ho!: Constant Lambert",Yes,https://mailpony.uk/pelicans/A195.jpg,"1949"
A196,"The Romans: R.H. Barrow",Yes,https://mailpony.uk/pelicans/A196.jpg,"1949 (1951 and 1972 reprint)"
A197,"England in the 19th Century 1815-1914: David Thomson Vol 8 of Pelican History of England RICHMOND.",Yes,https://mailpony.uk/pelicans/A197.jpg,"1949"
A198,"Before Philosophy: Frankfort,Frankfort,Wilson & Jacobsen",Yes,https://mailpony.uk/pelicans/A198.jpg,"1949"
A199,"The Archaeology of Palestine: W.F. Albright",Yes,https://mailpony.uk/pelicans/A199.jpg,"1949"
A200,"The Aztecs of Mexico: G.C. Vaillant",Yes,https://mailpony.uk/pelicans/A200.jpg,"1949"
A201,"Pottery and Ceramics ROSENTHAL Ernst",Yes,https://mailpony.uk/pelicans/A201.jpg,""
A202,"The Magistrates Courts GILES. F.T",Yes,https://mailpony.uk/pelicans/A202.jpg,""
A203,"Horse Racing CRAIG. Dennis",Yes,https://mailpony.uk/pelicans/A203.jpg,""
A204,"The Symphony HILL Ralph (Ed)",Yes,https://mailpony.uk/pelicans/A204.jpg,"1966 (1950 with dw,1951, 1956 and 1973 reprints)"
A205,"Prehistoric India PIGGOTT Stuart",Yes,https://mailpony.uk/pelicans/A205.jpg,""
A206,"New Frontiers of the Mind RHINE. J.B",Yes,https://mailpony.uk/pelicans/A206.jpg,""
A207,"The American Union NICHOLS. H.G",Yes,https://mailpony.uk/pelicans/A207.jpg,""
A208,"The English Parliament MACKENZIE. Kenneth",Yes,https://mailpony.uk/pelicans/A208.jpg,""
A209,"The Science of Flight SUTTON. O.G",Yes,https://mailpony.uk/pelicans/A209.jpg,""
A210,"Principles of Shakespearian Production KNIGHT. G.Wilson",Yes,https://mailpony.uk/pelicans/A210.jpg,""
A211,"Meaning and Purpose WALKER. Kenneth",Yes,https://mailpony.uk/pelicans/A211.jpg,""
A212,"Tudor England: Vol 5 in the Pelican History of England BINDOFF. S.T",Yes,https://mailpony.uk/pelicans/A212.jpg,""
A213,"The Meaning of Art READ. Herbert",Yes,https://mailpony.uk/pelicans/A213.jpg,""
A214,"Sailing HEATON. Peter",Yes,https://mailpony.uk/pelicans/A214.jpg,""
A215,"The Welsh GRIFFITH. Wyn",Yes,https://mailpony.uk/pelicans/A215.jpg,""
A216,"Beethoven SULLIVAN. J.W.N",Yes,https://mailpony.uk/pelicans/A216.jpg,""
A217,"Justinian and his Age URE. Percy Neville",Yes,https://mailpony.uk/pelicans/A217.jpg,""
A218,"The Child at School",Yes,https://mailpony.uk/pelicans/A218.jpg,
A219,A Writer’s Notes of his Trade MONTAGUE. C.E",Yes,https://mailpony.uk/pelicans/A219.jpg,""
A220,"The Greeks KITTO. H.D.F",Yes,https://mailpony.uk/pelicans/A220.jpg,""
A221,"Economics of Everyday Life WILLIAMS. Gertrude",Yes,https://mailpony.uk/pelicans/A221.jpg,""
A222,"A History of the USSR ROTHSTEIN. Andrew",Yes,https://mailpony.uk/pelicans/A222.jpg,""
A223,"Uncommon Wildflowers HUTCHINSON. John",Yes,https://mailpony.uk/pelicans/A223.jpg,""
A224,"Atomic Energy CRAMMER. J.L (Ed)",Yes,https://mailpony.uk/pelicans/A224.jpg,""
A225,"Music 1950 HILL. Ralph",Yes,https://mailpony.uk/pelicans/A225.jpg,""
A226,"The Cinema 1950 MANVELL Roger (Ed)",Yes,https://mailpony.uk/pelicans/A226.jpg,""
A227,"Our Language POTTER. Simeon",Yes,https://mailpony.uk/pelicans/A227.jpg,""
A228,"Buddhism HUMPHREYS. Christmas",Yes,https://mailpony.uk/pelicans/A228.jpg,""
A229,"William James KNIGHT Margaret",Yes,https://mailpony.uk/pelicans/A229.jpg,""
A230,"Red Brick University TRUSCOT Bruce",Yes,https://mailpony.uk/pelicans/A230.jpg,""
A231,"England in the Eighteenth Century. Vol 7 of Pelican History of England PLUMB. J.H",Yes,https://mailpony.uk/pelicans/A231.jpg,""
A232,"Music 1951 HILL Ralph (Ed)",Yes,https://mailpony.uk/pelicans/A232.jpg,""
A233,"The Cinema 1951 MANVELL Roger (Ed)",Yes,https://mailpony.uk/pelicans/A233.jpg,""
A234,"England in the late Middle Ages. Vol 4 in the Pelican History of England MYERS. A.R",Yes,https://mailpony.uk/pelicans/A234.jpg,""
A235,"Cruising HEATON. Peter",Yes,https://mailpony.uk/pelicans/A235.jpg,""
A236,"Facts From Figures MORONEY. M.J",Yes,https://mailpony.uk/pelicans/A236.jpg,""
A237,"The British Worker ZWEIG. Ferdynand",Yes,https://mailpony.uk/pelicans/A237.jpg,""
A238,"Mozart’s Letters ANDERSON",Yes,https://mailpony.uk/pelicans/A238.jpg,
A239,Iran GHIRSHMAN. R",Yes,https://mailpony.uk/pelicans/A239.jpg,""
A240,"The Ant World MORLEY. Derek",Yes,https://mailpony.uk/pelicans/A240.jpg,""
A241,"The English Village BONHAM-CARTER. V",Yes,https://mailpony.uk/pelicans/A241.jpg,""
A242,"See How They Grow FIELD. Mary & others",Yes,https://mailpony.uk/pelicans/A242.jpg,""
A243,"Nineteenth Century Opinion GOODWIN. Michael",Yes,https://mailpony.uk/pelicans/A243.jpg,""
A244,"Butler’s Moral Philosophy DUNCAN-JONES Austin",Yes,https://mailpony.uk/pelicans/A244.jpg,""
A245,"The Beginnings of English Society. Vol 2 in the Pelican History of England WHITELOCK. D",Yes,https://mailpony.uk/pelicans/A245.jpg,""
A246,"A life of One’s Own FIELD. Joanna",Yes,https://mailpony.uk/pelicans/A246.jpg,""
A247,"Jazz HARRIS. Rex",Yes,https://mailpony.uk/pelicans/A247.jpg,""
A248,"England in Transition GEORGE. Dorothy",Yes,https://mailpony.uk/pelicans/A248.jpg,""
A249,"The Concerto HILL. Ralph (Ed)",Yes,https://mailpony.uk/pelicans/A249.jpg,""
A250,"Contemporary British Art READ. Herbert",Yes,https://mailpony.uk/pelicans/A250.jpg,""
A251,"Animal Painting in England TAYLOR. Basil",Yes,https://mailpony.uk/pelicans/A251.jpg,""
A252,"English Society on the Early Middle Ages. Vol 3",Yes,https://mailpony.uk/pelicans/A252.jpg,
